table,project,link,sponsors
49,DangerZone,https://dubhacks18f.devpost.com/submissions/104429-dangerzone,"Facebook Hack, Best Use of Data Visualization with Qualtrics,  Best Social Good Hack, Top Teams Overall"
50,Vaguely Brown,https://dubhacks18f.devpost.com/submissions/104430-vaguely-brown," Best use of Clarifai's API, Best Use of Google Cloud Platform"
51,Moodly.,https://dubhacks18f.devpost.com/submissions/104431-moodly," Best Social Good Hack, Azure Champ Prize"
52,Nickify,https://dubhacks18f.devpost.com/submissions/104432-nickify," Best use of Clarifai's API,  Best use of Google Cloud Platform, Best Use of Google Cloud Platform, Top Teams Overall"
53,Eval-U,https://dubhacks18f.devpost.com/submissions/104433-eval-u,nan
54,Study Buddies,https://dubhacks18f.devpost.com/submissions/104434-study-buddies,nan
55,Scribe,https://dubhacks18f.devpost.com/submissions/104435-scribe," Best Social Good Hack, Best Use of Google Cloud Platform, Top Teams Overall"
56,TextbookMatch,https://dubhacks18f.devpost.com/submissions/104436-textbookmatch,nan
57,EmotiBoo,https://dubhacks18f.devpost.com/submissions/104437-emotiboo,"Best Use of Data Visualization with Qualtrics,  Best Social Good Hack, Azure Champ Prize, Best Use of Google Cloud Platform, Top Teams Overall"
58,Deep Learning Visual Playground,https://dubhacks18f.devpost.com/submissions/104438-deep-learning-visual-playground,nan
59,InstantAlert,https://dubhacks18f.devpost.com/submissions/104439-instantalert,nan
60,musiQ,https://dubhacks18f.devpost.com/submissions/104440-musiq,nan
61,Let There Be Cake,https://dubhacks18f.devpost.com/submissions/104441-let-there-be-cake,nan
62,Proximity,https://dubhacks18f.devpost.com/submissions/104442-proximity,nan
63,uMeet,https://dubhacks18f.devpost.com/submissions/104443-umeet,nan
64,how-goes-it,https://dubhacks18f.devpost.com/submissions/104444-how-goes-it,nan
65,HuskyShare,https://dubhacks18f.devpost.com/submissions/104445-huskyshare," Best use of Google Cloud Platform, Best Use of Google Cloud Platform"
66,WIWIWAT,https://dubhacks18f.devpost.com/submissions/104446-wiwiwat,"Best Domain Registered with Domain.com, Azure Champ Prize"
67,Cici,https://dubhacks18f.devpost.com/submissions/104447-cici,Best Use of Google Cloud Platform
68,Rendezvous,https://dubhacks18f.devpost.com/submissions/104448-rendezvous,nan
69,Speech to American Sign Language,https://dubhacks18f.devpost.com/submissions/104449-speech-to-american-sign-language,nan
70,projectX,https://dubhacks18f.devpost.com/submissions/104450-projectx,nan
71,dubForm,https://dubhacks18f.devpost.com/submissions/104451-dubform,Top Teams Overall
72,A-MUSE-ing,https://dubhacks18f.devpost.com/submissions/104461-a-muse-ing,Top Teams Overall
